puuid,player,label,smurf_score,judgment,confidence,account_level,current_tier,current_rank,matches_count,avg_kd,avg_kda,avg_hs_pct,win_rate,avg_dpr,avg_kpr,kd_rank_deviation,hs_rank_deviation,hs_kd_compound,kd_bimodal_score,tank_streak_max,kd_cliff_drop_rate,intentional_loss_rate,rank_gap,perf_rank_ratio_kd,perf_level_ratio,peak_tier_v3,peak_current_gap_v3,iso_score,lof_score,ocsvm_score,gmm_score,rule_score
44ca6de9-2b2b-58c1-a90e-165163129e35,今宵オレらは子供に還る#暴走族神,1,100.0,🔴 スマーフ濃厚,低(試合数不足),20.0,0.0,Unrated,3.0,1.3834,1.5868,0.20884,0.0,193.888,1.11888,2.0636,0.814,0.00289,0.0,0.0,0.0,0.0,0.0,2.075,13.8336,0.0,0.0,88.39,76.26,96.22,3.13,83.0
a62b9c95-452e-5ebd-be25-7e2d5689a36c,佐藤葵#4yu,1,96.0,🔴 スマーフ濃厚,中,237.0,11.0,Silver 3,659.0,1.3354,1.5386,0.32789,0.5023,177.925,0.96725,1.8354,2.7981,0.00438,0.0497,7.0,0.0334,0.1138,16.0,1.821,1.1269,27.0,16.0,100.0,21.69,100.0,0.0,100.0
620fc7db-3ea8-51b4-b1e3-69839ac8394d,maguchan#11111,1,92.7,🔴 スマーフ濃厚,高,103.0,16.0,Platinum 2,27.0,2.0963,2.5177,0.29424,0.6667,183.138,0.96252,3.5047,1.9041,0.00617,0.0,0.0,0.0,0.0,0.0,1.9653,4.0704,16.0,0.0,94.6,5.87,96.35,24.22,100.0
188f4a29-c50a-5192-be5e-976e88d5766a,山田のバター焼き#1112,0,90.2,🔴 スマーフ濃厚,高,21.0,16.0,Platinum 2,10.0,1.3464,1.9605,0.20485,0.9,170.146,0.91131,0.7275,0.4141,0.00276,0.0,0.0,0.0,0.0,0.0,1.2623,12.8232,16.0,0.0,71.34,70.39,96.84,3.13,64.0
c1a155eb-4315-5d0c-9adf-bc50ed9a195d,pits#1997,1,81.5,🔴 スマーフ濃厚,高,83.0,6.0,Bronze 1,27.0,1.3387,1.591,0.28917,0.375,132.285,0.71033,2.5718,2.3196,0.00387,0.0617,2.0,0.0769,0.1111,7.0,3.3466,3.2257,13.0,7.0,88.39,9.98,10.99,85.9,100.0
67fd98fa-da69-5191-bcc8-0f9c316c65a5,Charles#www,1,74.7,🟠 スマーフ可能性高,中,86.0,17.0,Platinum 3,203.0,0.691,1.1179,0.13647,0.6601,86.73,0.43673,-1.6999,-0.7255,0.00094,0.0155,11.0,0.0248,0.1823,5.0,0.6097,1.6071,22.0,5.0,85.04,5.86,96.11,24.22,48.0
06b7468b-1a53-50f2-9483-c60382a6842f,廃村長#namu,0,73.3,🟠 スマーフ可能性高,中,21.0,11.0,Silver 3,6.0,0.9802,1.243,0.31167,0.3333,149.614,0.77009,0.1439,2.5278,0.00306,0.0,0.0,0.0,0.0,0.0,1.3367,9.3355,11.0,0.0,36.75,81.82,96.17,3.13,41.25
e300d32a-ea6f-514e-995a-a81cba58029e,Glucose#BSED,1,72.6,🟠 スマーフ可能性高,高,181.0,10.0,Silver 2,39.0,1.3801,1.6036,0.31152,0.2941,169.351,0.85272,2.048,2.5253,0.0043,0.0513,2.0,0.0789,0.1538,8.0,2.0701,1.5249,18.0,8.0,79.63,7.19,7.85,69.23,100.0
cdbeef49-f8d2-5ea2-8663-0181734cb423,osu界隈#腱鞘炎,1,68.7,🟠 スマーフ可能性高,高,17.0,12.0,Gold 1,12.0,1.9601,2.3085,0.14624,0.5833,214.09,1.26262,3.7919,-0.396,0.00287,0.0,0.0,0.0,0.0,0.0,2.4501,19.6005,12.0,0.0,73.08,4.72,8.27,66.98,100.0
15c8e4ca-32e4-577e-9596-428c0fd96dc4,種付プレス#11112,1,62.9,🟠 スマーフ可能性高,高,27.0,15.0,Platinum 1,11.0,1.9501,2.4206,0.23211,0.5455,214.308,1.14275,2.9633,0.8686,0.00453,0.0,0.0,0.0,0.0,0.0,1.9501,14.445,15.0,0.0,65.92,3.06,6.25,58.57,100.0
4a4bbe64-f0e3-5539-ba08-a05dabd9fa4f,SIGE ACE KONA#11161,1,60.6,🟠 スマーフ可能性高,中,44.0,12.0,Gold 1,25.0,1.3563,1.5669,0.20506,0.4167,177.29,0.99257,1.2763,0.5843,0.00278,0.0576,4.0,0.0,0.16,2.0,1.6954,6.165,14.0,2.0,66.07,6.8,8.75,63.79,80.0
5926792c-cf67-55bd-a625-d91f6388cc0b,minamisan7#0000,1,60.5,🟠 スマーフ可能性高,高,164.0,8.0,Bronze 3,14.0,2.3024,3.0319,0.11984,0.6154,134.865,0.70492,7.6442,-0.5026,0.00276,0.0,0.0,0.0769,0.0,0.0,4.317,2.8078,8.0,0.0,55.28,9.65,10.6,85.75,74.0
7e8f3520-3eb9-58d3-bc01-bc4b3a35c5ea,luvgood#るーな,1,59.9,🟠 スマーフ可能性高,高,67.0,11.0,Silver 3,10.0,1.5815,1.8702,0.3364,0.4,166.878,0.97519,3.0069,2.9401,0.00532,0.0,0.0,0.0,0.0,0.0,2.1565,4.7208,11.0,0.0,50.1,6.72,14.64,59.27,100.0
