puuid,player,account_level,current_tier,current_elo,highest_tier,matches_count,avg_kills,avg_deaths,avg_assists,avg_kd,avg_kda,avg_hs_pct,avg_dmg_made,avg_dpr,avg_spr,avg_kpr,median_kd,median_kpr,kd_std,kd_cv,kills_std,kills_cv,hs_std,hs_cv,dpr_std,dpr_cv,score_cv,win_rate,max_win_streak,avg_margin,agent_diversity,top_agent_ratio,rank_gap,tier_range,tier_trend,perf_rank_ratio_kd,perf_rank_ratio_hs,perf_rank_ratio_dpr,perf_level_ratio,match_frequency,activity_span_days,level_range,dmg_efficiency,high_perf_rate,dominant_rate,avg_kd_diff,kd_diff_positive_rate,peak_tier_v3,peak_rr,peak_current_gap_v3,seasons_played,first_season_tier,latest_season_tier,seasonal_rank_growth,seasonal_avg_winrate,total_act_wins,avg_games_per_season,mmr_hist_count,avg_rr_change,rr_change_std,positive_rr_rate,max_rr_gain,elo_range,elo_velocity,max_rr_streak,avg_ability_total,avg_ultimate_casts,avg_afk_rounds,avg_rounds_in_spawn,avg_economy_spent,avg_loadout_value,economy_efficiency,party_count,solo_queue_rate,avg_session_playtime,avg_ff_outgoing,iso_score,lof_score,ocsvm_score,gmm_score,cluster,skill_cluster,rule_score,smurf_score,is_dbscan_noise,judgment,confidence,current_rank,highest_rank
9d5bf725-5be6-59c4-81f9-189980048ade,angeiッ#1010,20,0,0,0,3,17.667,14.333,4.0,1.3135,1.6072,0.27487,3277.67,160.583,250.642,0.86564,1.2667,0.95,0.4684,0.3566,3.399,0.1924,0.16553,0.6022,46.643,0.2905,0.1588,0.6667,1,3.667,2,0.6667,0,0,0.0,1.9702,0.4123,240.8746,13.1349,52.7937,0.06,0,0.53944,0.3333,0.0,3.333,0.6667,0,0,0,1,0,0,0.0,0.0,2,3.0,0,0.0,0.0,0.0,0,0,0.0,0,26.67,2.333,0.0,0.0,1966.27,3841.07,2.672,1,0.3333,55.0,0.0,72.09,100.0,98.45,3.26,5,高スキル帯,80.0,100.0,1,🔴 スマーフ濃厚,高,Unrated,Unrated
44ca6de9-2b2b-58c1-a90e-165163129e35,今宵オレらは子供に還る#暴走族神,20,0,0,0,3,28.0,20.333,4.0,1.3834,1.5868,0.20884,4833.33,193.888,310.782,1.11888,1.4444,1.13043,0.1461,0.1056,2.828,0.101,0.04426,0.2119,11.075,0.0571,0.0859,0.0,0,-1.667,1,1.0,0,0,0.0,2.075,0.31326,290.8314,13.8336,40.0918,0.07,0,0.54579,0.3333,0.0,7.667,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,57.33,4.0,0.0,0.0,2576.25,3830.92,2.1479,1,0.3333,57.67,0.0,92.96,76.92,96.23,3.26,5,高スキル帯,72.0,100.0,1,🔴 スマーフ濃厚,高,Unrated,Unrated
b9f8f4e1-ae0e-516f-87b5-608e28656204,Rick ツ#thai,23,0,0,9,4,24.75,17.25,3.0,1.6197,1.824,0.46389,4570.25,213.929,327.755,1.16176,1.5394,1.21429,0.7889,0.4871,7.595,0.3069,0.09061,0.1953,66.504,0.3109,0.2836,0.5,2,1.75,2,0.75,0,0,0.0,2.4296,0.69583,320.8942,14.0844,15.0666,0.27,1,0.58305,0.5,0.25,7.5,0.75,9,0,0,3,9,9,0.0,0.0667,7,5.0,0,0.0,0.0,0.0,0,0,0.0,0,47.67,3.333,0.0,0.0,2358.33,3605.75,2.7472,2,0.6667,37.0,0.0,83.14,31.74,78.68,73.77,0,低スキル帯,91.0,99.6,1,🔴 スマーフ濃厚,高,Unrated,Silver 1
188f4a29-c50a-5192-be5e-976e88d5766a,山田のバター焼き#1112,21,16,1326,16,10,19.6,15.6,9.1,1.3464,1.9605,0.20485,3655.0,170.146,269.036,0.91131,1.2847,0.86607,0.444,0.3298,6.391,0.3261,0.04089,0.1996,34.604,0.2034,0.2908,0.9,9,4.7,4,0.7,0,3,-0.33939,1.2623,0.19205,159.5115,12.8232,36.7824,0.27,1,0.54571,0.4,0.1,4.0,0.8,16,0,0,1,16,16,0.0,0.65,14,20.0,0,0.0,0.0,0.0,0,0,0.0,0,39.33,1.667,0.333,0.333,1917.63,2657.02,2.8085,1,0.3333,976.33,0.0,80.57,70.87,96.84,3.26,5,高スキル帯,64.0,94.3,1,🔴 スマーフ濃厚,高,Platinum 2,Platinum 2
a62b9c95-452e-5ebd-be25-7e2d5689a36c,佐藤葵#4yu,237,11,813,27,659,18.455,14.498,2.962,1.3354,1.5386,0.32789,3410.6,177.925,276.748,0.96725,1.25,1.0,0.9785,0.7327,10.798,0.5851,0.14158,0.4318,87.388,0.4911,0.5835,0.5023,8,0.334,24,0.3763,16,23,-0.00092,1.821,0.44712,242.6253,1.1269,0.4509,1461.51,212,0.54894,0.3642,0.176,3.958,0.6222,27,0,16,30,11,18,0.25,0.4557,1161,77.63,548,0.119,21.652,0.5,45,1211,-0.3818,9,45.33,1.667,0.0,0.0,2749.01,3606.15,1.9431,3,1.0,225.33,0.0,99.89,31.12,100.0,0.0,3,最高スキル帯,52.0,86.4,1,🔴 スマーフ濃厚,中,Silver 3,Radiant
620fc7db-3ea8-51b4-b1e3-69839ac8394d,maguchan#11111,103,16,1310,16,27,20.593,12.667,4.778,2.0963,2.5177,0.29424,3934.85,183.138,270.139,0.96252,1.4615,0.96429,1.9559,0.933,7.617,0.3699,0.17524,0.5956,60.054,0.3279,0.357,0.6667,7,2.63,8,0.4815,0,12,-0.43284,1.9653,0.27585,171.6915,4.0704,0.1237,218.19,74,0.61247,0.4815,0.4074,7.926,0.7778,16,0,0,5,16,4,-2.4,0.4592,377,158.8,20,16.45,23.562,0.7,43,613,-39.1293,11,67.0,2.333,0.0,0.0,2377.96,3639.27,3.5262,3,1.0,53.67,0.0,100.0,7.37,96.32,25.01,1,中スキル帯,62.0,85.6,1,🔴 スマーフ濃厚,中,Platinum 2,Platinum 2
c1a155eb-4315-5d0c-9adf-bc50ed9a195d,pits#1997,83,6,347,13,27,7.259,4.852,1.444,1.3387,1.591,0.28917,1295.48,132.285,195.776,0.71033,0.75,0.61111,1.2275,0.917,9.713,1.338,0.21864,0.7561,72.448,0.5477,1.3471,0.375,3,-0.185,14,0.1852,7,7,0.05617,3.3466,0.72293,330.7122,3.2257,0.2769,97.52,26,0.58977,0.3333,0.2593,2.407,0.3704,13,0,7,6,6,10,0.6667,0.3287,310,126.5,0,0.0,0.0,0.0,0,0,0.0,0,20.0,1.667,0.0,0.033,1796.61,3577.38,2.9804,2,0.6667,31.33,0.0,89.24,13.42,10.54,83.87,0,低スキル帯,62.0,72.4,1,🟠 スマーフ可能性高,中,Bronze 1,Gold 2
06b7468b-1a53-50f2-9483-c60382a6842f,廃村長#namu,21,11,828,11,6,17.167,17.833,4.667,0.9802,1.243,0.31167,3321.5,149.614,227.667,0.77009,1.0079,0.82971,0.3918,0.3997,6.094,0.355,0.06244,0.2004,48.013,0.3209,0.3288,0.3333,1,-2.5,4,0.5,0,0,0.0,1.3367,0.425,204.0186,9.3355,43.1238,0.14,1,0.50724,0.1667,0.0,-0.667,0.5,11,0,0,1,11,11,0.0,0.1667,2,6.0,0,0.0,0.0,0.0,0,0,0.0,0,44.0,2.0,0.0,0.0,2542.23,3394.54,1.5423,1,0.3333,179.67,0.0,38.29,82.32,96.18,3.26,5,高スキル帯,30.0,71.3,1,🟠 スマーフ可能性高,中,Silver 3,Silver 3
67fd98fa-da69-5191-bcc8-0f9c316c65a5,Charles#www,86,17,1407,22,203,8.399,14.212,5.005,0.691,1.1179,0.13647,1682.38,86.73,129.516,0.43673,0.5833,0.3913,0.6283,0.9091,4.723,0.5624,0.07495,0.5492,43.155,0.4976,0.5139,0.6601,14,2.177,18,0.335,5,15,-0.06302,0.6097,0.12042,76.5262,1.6071,0.3894,521.32,62,0.39045,0.0542,0.0197,-5.813,0.1429,22,0,5,10,17,6,-1.1,0.5179,282,52.6,59,6.508,14.659,0.6441,28,615,-10.4209,14,54.0,2.667,0.0,0.0,2719.63,3692.07,1.0164,2,0.6667,47.33,0.0,84.81,7.22,96.06,25.01,1,中スキル帯,22.0,68.5,1,🟠 スマーフ可能性高,中,Platinum 3,Ascendant 2
cdbeef49-f8d2-5ea2-8663-0181734cb423,osu界隈#腱鞘炎,17,12,921,12,12,25.167,14.417,4.917,1.9601,2.3085,0.14624,4284.92,214.09,355.052,1.26262,1.6059,1.24643,1.0012,0.5108,7.267,0.2887,0.04405,0.3012,61.495,0.2872,0.2685,0.5833,4,1.667,3,0.6667,0,5,-0.31818,2.4501,0.1828,267.6128,19.6005,0.6339,18.93,14,0.59794,0.5,0.4167,10.75,0.8333,12,0,0,2,12,3,-4.5,0.4054,28,27.0,0,0.0,0.0,0.0,0,0,0.0,0,42.33,3.0,0.0,0.0,2573.7,4202.1,3.0463,1,0.3333,172.67,0.0,77.54,5.55,8.06,63.5,0,低スキル帯,91.0,67.9,1,🟠 スマーフ可能性高,中,Gold 1,Gold 1
