puuid,player,account_level,current_tier,current_elo,highest_tier,matches_count,avg_kills,avg_deaths,avg_assists,avg_kd,avg_kda,avg_hs_pct,avg_dmg_made,avg_dpr,avg_spr,avg_kpr,median_kd,median_kpr,kd_std,kd_cv,kills_std,kills_cv,hs_std,hs_cv,dpr_std,dpr_cv,score_cv,win_rate,max_win_streak,avg_margin,agent_diversity,top_agent_ratio,rank_gap,tier_range,tier_trend,perf_rank_ratio_kd,perf_rank_ratio_hs,perf_rank_ratio_dpr,perf_level_ratio,kd_rank_deviation,hs_rank_deviation,hs_kd_compound,match_frequency,activity_span_days,level_range,dmg_efficiency,high_perf_rate,dominant_rate,avg_kd_diff,kd_diff_positive_rate,intentional_loss_rate,tank_streak_max,kd_cliff_drop_rate,kd_bimodal_score,peak_tier_v3,peak_rr,peak_current_gap_v3,seasons_played,first_season_tier,latest_season_tier,seasonal_rank_growth,seasonal_avg_winrate,total_act_wins,avg_games_per_season,mmr_hist_count,avg_rr_change,rr_change_std,positive_rr_rate,max_rr_gain,elo_range,elo_velocity,max_rr_streak,avg_ability_total,avg_ultimate_casts,avg_afk_rounds,avg_rounds_in_spawn,avg_economy_spent,avg_loadout_value,economy_efficiency,party_count,solo_queue_rate,avg_session_playtime,avg_ff_outgoing,iso_score,lof_score,ocsvm_score,gmm_score,cluster,skill_cluster,rule_score,smurf_score,is_dbscan_noise,supervised_score,judgment,confidence,current_rank,highest_rank
44ca6de9-2b2b-58c1-a90e-165163129e35,今宵オレらは子供に還る#暴走族神,20,0,0,0,3,28.0,20.333,4.0,1.3834,1.5868,0.20884,4833.33,193.888,310.782,1.11888,1.4444,1.13043,0.1461,0.1056,2.828,0.101,0.04426,0.2119,11.075,0.0571,0.0859,0.0,0,-1.667,1,1.0,0,0,0.0,2.075,0.31326,290.8314,13.8336,2.0636,0.814,0.00289,40.0918,0.07,0,0.54579,0.3333,0.0,7.667,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,57.33,4.0,0.0,0.0,2576.25,3830.92,2.1479,1,0.3333,57.67,0.0,90.51,76.26,96.23,3.4,5,高スキル帯,83.0,100.0,1,100.0,🔴 スマーフ濃厚,低(試合数不足),Unrated,Unrated
b9f8f4e1-ae0e-516f-87b5-608e28656204,Rick ツ#thai,23,0,0,9,4,24.75,17.25,3.0,1.6197,1.824,0.46389,4570.25,213.929,327.755,1.16176,1.5394,1.21429,0.7889,0.4871,7.595,0.3069,0.09061,0.1953,66.504,0.3109,0.2836,0.5,2,1.75,2,0.75,0,0,0.0,2.4296,0.69583,320.8942,14.0844,3.1891,5.0648,0.00751,15.0666,0.27,1,0.58305,0.5,0.25,7.5,0.75,0.0,0,0.0,0.0,9,0,0,3,9,9,0.0,0.0667,7,5.0,0,0.0,0.0,0.0,0,0,0.0,0,47.67,3.333,0.0,0.0,2358.33,3605.75,2.7472,2,0.6667,37.0,0.0,82.64,29.98,78.94,84.27,0,低スキル帯,100.0,100.0,1,100.0,🔴 スマーフ濃厚,低(試合数不足),Unrated,Silver 1
9d5bf725-5be6-59c4-81f9-189980048ade,angeiッ#1010,20,0,0,0,3,17.667,14.333,4.0,1.3135,1.6072,0.27487,3277.67,160.583,250.642,0.86564,1.2667,0.95,0.4684,0.3566,3.399,0.1924,0.16553,0.6022,46.643,0.2905,0.1588,0.6667,1,3.667,2,0.6667,0,0,0.0,1.9702,0.4123,240.8746,13.1349,1.7309,1.9145,0.00361,52.7937,0.06,0,0.53944,0.3333,0.0,3.333,0.6667,0.0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,2,3.0,0,0.0,0.0,0.0,0,0,0.0,0,26.67,2.333,0.0,0.0,1966.27,3841.07,2.672,1,0.3333,55.0,0.0,69.99,100.0,98.46,3.4,5,高スキル帯,90.0,99.8,1,99.7,🔴 スマーフ濃厚,低(試合数不足),Unrated,Unrated
a62b9c95-452e-5ebd-be25-7e2d5689a36c,佐藤葵#4yu,237,11,813,27,659,18.455,14.498,2.962,1.3354,1.5386,0.32789,3410.6,177.925,276.748,0.96725,1.25,1.0,0.9785,0.7327,10.798,0.5851,0.14158,0.4318,87.388,0.4911,0.5835,0.5023,8,0.334,24,0.3763,16,23,-0.00092,1.821,0.44712,242.6253,1.1269,1.8354,2.7981,0.00438,0.4509,1461.51,212,0.54894,0.3642,0.176,3.958,0.6222,0.1138,7,0.0334,0.0497,27,0,16,30,11,18,0.25,0.4557,1161,77.63,548,0.119,21.652,0.5,45,1211,-0.3818,9,45.33,1.667,0.0,0.0,2749.01,3606.15,1.9431,3,1.0,225.33,0.0,100.0,21.67,100.0,0.0,3,最高スキル帯,100.0,96.8,1,100.0,🔴 スマーフ濃厚,中,Silver 3,Radiant
620fc7db-3ea8-51b4-b1e3-69839ac8394d,maguchan#11111,103,16,1310,16,27,20.593,12.667,4.778,2.0963,2.5177,0.29424,3934.85,183.138,270.139,0.96252,1.4615,0.96429,1.9559,0.933,7.617,0.3699,0.17524,0.5956,60.054,0.3279,0.357,0.6667,7,2.63,8,0.4815,0,12,-0.43284,1.9653,0.27585,171.6915,4.0704,3.5047,1.9041,0.00617,0.1237,218.19,74,0.61247,0.4815,0.4074,7.926,0.7778,0.0,0,0.0,0.0,16,0,0,5,16,4,-2.4,0.4592,377,158.8,20,16.45,23.562,0.7,43,613,-39.1293,11,67.0,2.333,0.0,0.0,2377.96,3639.27,3.5262,3,1.0,53.67,0.0,92.69,5.86,96.36,26.33,1,中スキル帯,100.0,94.7,1,100.0,🔴 スマーフ濃厚,高,Platinum 2,Platinum 2
c1a155eb-4315-5d0c-9adf-bc50ed9a195d,pits#1997,83,6,347,13,27,7.259,4.852,1.444,1.3387,1.591,0.28917,1295.48,132.285,195.776,0.71033,0.75,0.61111,1.2275,0.917,9.713,1.338,0.21864,0.7561,72.448,0.5477,1.3471,0.375,3,-0.185,14,0.1852,7,7,0.05617,3.3466,0.72293,330.7122,3.2257,2.5718,2.3196,0.00387,0.2769,97.52,26,0.58977,0.3333,0.2593,2.407,0.3704,0.1111,2,0.0769,0.0617,13,0,7,6,6,10,0.6667,0.3287,310,126.5,0,0.0,0.0,0.0,0,0,0.0,0,20.0,1.667,0.0,0.033,1796.61,3577.38,2.9804,2,0.6667,31.33,0.0,87.83,9.55,10.97,93.5,0,低スキル帯,100.0,89.3,1,100.0,🔴 スマーフ濃厚,高,Bronze 1,Gold 2
e425a265-f5ea-59cf-a8f5-0c78984bcd50,ZeNeTsU#777,188,0,0,14,5,21.6,13.0,4.4,1.6725,1.9593,0.27548,3892.6,212.271,341.944,1.18242,1.875,1.25,0.444,0.2655,10.052,0.4654,0.12081,0.4385,60.496,0.285,0.4492,0.4,2,0.0,4,0.4,0,10,-4.0,2.7875,0.45913,353.7843,1.7793,3.4405,1.9246,0.00461,0.0036,1378.18,134,0.59124,0.8,0.2,8.6,0.8,0.0,0,0.0,0.0,14,0,0,22,11,3,-0.4444,0.3141,254,23.09,0,0.0,0.0,0.0,0,0,0.0,0,41.67,1.667,0.0,0.0,2436.72,3507.25,2.7455,2,0.6667,27.67,0.0,76.4,21.3,21.68,97.78,0,低スキル帯,74.5,87.0,1,100.0,🔴 スマーフ濃厚,高,Unrated,Gold 3
67fd98fa-da69-5191-bcc8-0f9c316c65a5,Charles#www,86,17,1407,22,203,8.399,14.212,5.005,0.691,1.1179,0.13647,1682.38,86.73,129.516,0.43673,0.5833,0.3913,0.6283,0.9091,4.723,0.5624,0.07495,0.5492,43.155,0.4976,0.5139,0.6601,14,2.177,18,0.335,5,15,-0.06302,0.6097,0.12042,76.5262,1.6071,-1.6999,-0.7255,0.00094,0.3894,521.32,62,0.39045,0.0542,0.0197,-5.813,0.1429,0.1823,11,0.0248,0.0155,22,0,5,10,17,6,-1.1,0.5179,282,52.6,59,6.508,14.659,0.6441,28,615,-10.4209,14,54.0,2.667,0.0,0.0,2719.63,3692.07,1.0164,2,0.6667,47.33,0.0,85.13,5.86,96.12,26.33,1,中スキル帯,48.0,85.1,1,100.0,🔴 スマーフ濃厚,中,Platinum 3,Ascendant 2
e300d32a-ea6f-514e-995a-a81cba58029e,Glucose#BSED,181,10,739,18,39,9.256,7.846,1.744,1.3801,1.6036,0.31152,1813.87,169.351,245.209,0.85272,1.0,0.75,1.617,1.1717,9.256,1.0,0.22645,0.7269,90.576,0.5348,0.9905,0.2941,3,-1.718,10,0.2564,8,9,0.11862,2.0701,0.46728,254.0269,1.5249,2.048,2.5253,0.0043,0.1531,254.72,122,0.5561,0.3333,0.1538,1.41,0.4359,0.1538,2,0.0789,0.0513,18,0,8,8,10,6,-0.5,0.4412,935,241.75,0,0.0,0.0,0.0,0,0,0.0,0,16.33,1.333,0.0,0.0,1855.39,2724.02,2.9753,2,0.6667,159.33,0.0,78.64,6.96,7.84,75.34,0,低スキル帯,100.0,84.1,1,100.0,🔴 スマーフ濃厚,高,Silver 2,Diamond 1
cdbeef49-f8d2-5ea2-8663-0181734cb423,osu界隈#腱鞘炎,17,12,921,12,12,25.167,14.417,4.917,1.9601,2.3085,0.14624,4284.92,214.09,355.052,1.26262,1.6059,1.24643,1.0012,0.5108,7.267,0.2887,0.04405,0.3012,61.495,0.2872,0.2685,0.5833,4,1.667,3,0.6667,0,5,-0.31818,2.4501,0.1828,267.6128,19.6005,3.7919,-0.396,0.00287,0.6339,18.93,14,0.59794,0.5,0.4167,10.75,0.8333,0.0,0,0.0,0.0,12,0,0,2,12,3,-4.5,0.4054,28,27.0,0,0.0,0.0,0.0,0,0,0.0,0,42.33,3.0,0.0,0.0,2573.7,4202.1,3.0463,1,0.3333,172.67,0.0,72.19,4.72,8.27,72.87,0,低スキル帯,100.0,82.0,1,100.0,🔴 スマーフ濃厚,高,Gold 1,Gold 1
15c8e4ca-32e4-577e-9596-428c0fd96dc4,種付プレス#11112,27,15,1202,15,11,23.909,13.636,5.182,1.9501,2.4206,0.23211,4502.82,214.308,326.712,1.14275,1.6667,1.0,0.8799,0.4512,7.549,0.3157,0.06546,0.282,54.372,0.2537,0.3014,0.5455,3,1.364,5,0.3636,0,4,-0.18182,1.9501,0.23211,214.3078,14.445,2.9633,0.8686,0.00453,0.8384,13.12,5,0.63769,0.5455,0.4545,10.273,0.9091,0.0,0,0.0,0.0,15,0,0,1,15,15,0.0,0.4706,19,34.0,0,0.0,0.0,0.0,0,0,0.0,0,68.33,2.333,0.0,0.0,2640.86,3668.84,2.9537,1,0.3333,120.33,0.0,64.16,3.06,6.25,63.72,0,低スキル帯,100.0,78.4,1,100.0,🔴 スマーフ濃厚,高,Platinum 1,Platinum 1
7e8f3520-3eb9-58d3-bc01-bc4b3a35c5ea,luvgood#るーな,67,11,800,11,10,20.7,13.7,3.9,1.5815,1.8702,0.3364,3536.3,166.878,271.269,0.97519,1.3912,1.06848,0.5318,0.3362,5.197,0.2511,0.08456,0.2514,33.423,0.2003,0.248,0.4,3,-1.4,2,0.6,0,0,0.0,2.1565,0.45873,227.5606,4.7208,3.0069,2.9401,0.00532,4.8534,2.06,1,0.57275,0.4,0.3,7.0,0.9,0.0,0,0.0,0.0,11,0,0,1,11,11,0.0,0.5,23,40.0,0,0.0,0.0,0.0,0,0,0.0,0,58.0,4.0,0.0,0.0,2465.94,3309.24,2.5653,1,0.3333,284.0,0.0,52.14,6.72,14.68,64.48,0,低スキル帯,100.0,77.7,1,100.0,🔴 スマーフ濃厚,高,Silver 3,Silver 3
